time,type
00:07:40,HoloLens
00:07:45,HoloLens
00:07:50,HoloLens
00:07:55,HoloLens
00:08:00,HoloLens
00:08:05,HoloLens
00:08:10,HoloLens
00:08:15,HoloLens
00:11:20,HoloLens
00:11:25,HoloLens
00:11:30,HoloLens
00:11:35,HoloLens
00:11:40,HoloLens
00:11:45,HoloLens
00:11:50,HoloLens
00:12:05,HoloLens
00:12:10,HoloLens
00:12:15,HoloLens
00:12:20,HoloLens
00:12:25,HoloLens
00:20:45,HoloLens
00:20:50,HoloLens
00:20:55,HoloLens
00:21:00,HoloLens
00:21:05,HoloLens
00:21:20,HoloLens
00:21:25,HoloLens
00:21:30,HoloLens
00:21:35,HoloLens
00:21:40,HoloLens
00:21:45,HoloLens
00:21:50,HoloLens
00:21:55,HoloLens
00:22:00,HoloLens
00:22:05,HoloLens
00:22:10,HoloLens
00:22:15,HoloLens
00:09:35,tablet B
00:09:40,tablet B
00:09:45,tablet B
00:09:50,tablet B
00:09:55,tablet B
00:10:55,tablet B
00:11:00,tablet B
00:11:05,tablet B
00:11:10,tablet B
00:11:40,tablet B
00:11:45,tablet B
00:11:50,tablet B
00:11:55,tablet B
00:12:00,tablet B
00:12:05,tablet B
00:12:10,tablet B
00:12:15,tablet B
00:12:20,tablet B
00:12:25,tablet B
00:13:15,tablet B
00:13:20,tablet B
00:13:25,tablet B
00:13:30,tablet B
00:13:35,tablet B
00:13:40,tablet B
00:15:20,tablet B
00:15:25,tablet B
00:15:30,tablet B
00:15:35,tablet B
00:15:40,tablet B
00:15:45,tablet B
00:15:50,tablet B
00:15:55,tablet B
00:16:00,tablet B
00:16:05,tablet B
00:16:10,tablet B
00:16:15,tablet B
00:16:20,tablet B
00:16:25,tablet B
00:16:30,tablet B
00:16:35,tablet B
00:16:40,tablet B
00:16:45,tablet B
00:16:50,tablet B
00:16:55,tablet B
00:17:00,tablet B
00:17:05,tablet B
00:17:40,tablet B
00:17:45,tablet B
00:17:50,tablet B
00:17:55,tablet B
00:18:00,tablet B
00:07:55,tablet A
00:08:00,tablet A
00:08:05,tablet A
00:08:10,tablet A
00:08:15,tablet A
00:08:20,tablet A
00:08:25,tablet A
00:08:30,tablet A
00:08:35,tablet A
00:08:40,tablet A
00:08:45,tablet A
00:08:50,tablet A
00:08:55,tablet A
00:09:00,tablet A
00:09:05,tablet A
00:09:10,tablet A
00:09:15,tablet A
00:09:20,tablet A
00:09:25,tablet A
00:09:30,tablet A
00:09:35,tablet A
00:09:40,tablet A
00:09:45,tablet A
00:09:50,tablet A
00:09:55,tablet A
00:19:50,tablet A
00:19:55,tablet A
00:20:00,tablet A
00:20:05,tablet A
00:20:10,tablet A
00:20:15,tablet A
00:20:20,tablet A
00:20:25,tablet A
00:20:30,tablet A
00:20:35,tablet A
00:20:40,tablet A
00:20:45,tablet A
00:20:50,tablet A
00:20:55,tablet A
00:21:00,tablet A
00:21:05,tablet A
00:21:10,tablet A
00:21:15,tablet A
00:21:20,tablet A
00:21:25,tablet A
00:21:30,tablet A
00:21:35,tablet A
00:21:40,tablet A
00:21:45,tablet A
00:21:50,tablet A
00:22:00,tablet A
00:22:05,tablet A
00:22:10,tablet A
00:22:15,tablet A
00:22:20,tablet A
00:22:25,tablet A
00:22:30,tablet A
00:22:35,tablet A
00:22:40,tablet A
00:22:45,tablet A
00:22:50,tablet A
00:22:55,tablet A
00:00:40,laptop
00:00:45,laptop
00:00:50,laptop
00:00:55,laptop
00:01:00,laptop
00:01:05,laptop
00:01:10,laptop
00:01:15,laptop
00:01:20,laptop
00:01:25,laptop
00:01:30,laptop
00:01:35,laptop
00:01:50,laptop
00:01:55,laptop
00:02:00,laptop
00:02:05,laptop
00:02:10,laptop
00:02:15,laptop
00:02:20,laptop
00:02:55,laptop
00:03:00,laptop
00:03:05,laptop
00:03:10,laptop
00:04:15,laptop
00:04:20,laptop
00:04:25,laptop
00:04:30,laptop
00:04:35,laptop
00:04:40,laptop
00:08:20,laptop
00:08:25,laptop
00:08:30,laptop
00:08:35,laptop
00:08:40,laptop
00:08:45,laptop
00:08:50,laptop
00:08:55,laptop
00:09:00,laptop
00:09:05,laptop
00:09:10,laptop
00:09:15,laptop
00:09:20,laptop
00:09:25,laptop
00:09:30,laptop
00:09:35,laptop
00:09:40,laptop
00:09:45,laptop
00:09:50,laptop
00:09:55,laptop
00:24:55,laptop
00:25:00,laptop
00:01:15,large display
00:01:20,large display
00:01:25,large display
00:01:40,large display
00:01:45,large display
00:02:25,large display
00:02:30,large display
00:02:35,large display
00:02:40,large display
00:02:45,large display
00:02:50,large display
00:03:15,large display
00:03:20,large display
00:03:25,large display
00:03:30,large display
00:03:35,large display
00:03:40,large display
00:03:45,large display
00:03:50,large display
00:03:55,large display
00:04:00,large display
00:04:05,large display
00:04:10,large display
00:04:45,large display
00:04:50,large display
00:04:55,large display
00:05:00,large display
00:05:05,large display
00:05:10,large display
00:05:15,large display
00:05:20,large display
00:05:25,large display
00:05:30,large display
00:05:35,large display
00:05:40,large display
00:05:45,large display
00:06:25,large display
00:06:30,large display
00:06:35,large display
00:06:40,large display
00:06:45,large display
00:10:00,large display
00:10:05,large display
00:10:10,large display
00:10:15,large display
00:10:20,large display
00:10:25,large display
00:10:30,large display
00:10:35,large display
00:10:40,large display
00:10:45,large display
00:10:50,large display
00:12:30,large display
00:12:35,large display
00:12:40,large display
00:12:45,large display
00:12:50,large display
00:12:55,large display
00:13:00,large display
00:13:05,large display
00:13:10,large display
00:13:45,large display
00:13:50,large display
00:13:55,large display
00:14:00,large display
00:14:15,large display
00:14:20,large display
00:14:25,large display
00:14:30,large display
00:14:35,large display
00:14:40,large display
00:14:45,large display
00:14:50,large display
00:14:55,large display
00:15:00,large display
00:15:05,large display
00:15:10,large display
